ID,BillingType,Status,Category,DateAdd,MrrTotal,Quantity,ServicesStartDate,ServicesStatus,ServiceName,Price,Locations
4,recurring,active,person,2019-01-03,26000,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
5,recurring,disabled,person,2019-01-11,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
14,recurring,active,person,2019-01-12,26000,1,2019-01-14,hidden,FTTH 25,42000,PYAY-CITY-FTTH
28,recurring,active,person,2019-02-01,0,1,2019-01-23,hidden,FTTH 15,26000,APN - Thilawa SEZ
72,recurring,disabled,person,2019-02-19,0,1,2019-01-31,hidden,FTTH 15,26000,PYAY-CITY-FTTH
77,recurring,active,person,2019-02-25,42000,1,2019-01-31,hidden,FTTH 15,26000,APN - San Chaung Garden
79,recurring,disabled,person,2019-02-22,0,1,2021-07-01,active,FTTH 15,26000,PYAY-CITY-FTTH
82,recurring,blocked,person,2019-02-26,0,1,2021-09-01,active,FTTH 60,75000,PYAY-CITY-FTTH
85,recurring,disabled,person,2019-02-27,0,1,2021-07-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
114,recurring,active,person,2019-03-08,26000,1,2022-02-20,hidden,FTTH 25,42000,PYAY-CITY-FTTH
118,recurring,active,person,2019-03-11,22285.7142,1,2021-11-01,hidden,FTTH 15,26000,PYAY-CITY-FTTH
120,recurring,disabled,person,2019-03-19,0,1,2019-02-22,hidden,FTTH 25,42000,PYAY-CITY-FTTH
127,recurring,active,person,2019-03-15,35000,1,2019-02-22,hidden,FTTH 15,26000,PYAY-CITY-FTTH
129,recurring,active,person,2019-03-16,26000,1,2019-03-01,hidden,Business 15,40000,PYAY-CITY-FTTH
133,recurring,active,person,2019-03-19,22285.7142,1,2019-02-28,hidden,FTTH 25,42000,PYAY-CITY-FTTH
142,recurring,blocked,person,2019-03-28,26000,1,2021-09-01,disabled,FTTH 25,42000,PYAY-CITY-FTTH
146,recurring,active,person,2019-03-26,26000,1,2021-08-01,disabled,FTTH 15,26000,PYAY-CITY-FTTH
